Era,Series Title,Parent Authority,Result,Authority ID,Resolved Authority ID,Publishing Era,Status
New 52,Convergence: Shazam!,Convergence,Added,SER-01413,SER-01413,The New 52,Assigned
New 52,Convergence: Speed Force,Convergence,Added,SER-01414,SER-01414,The New 52,Assigned
New 52,Convergence: Superboy,Convergence,Added,SER-01415,SER-01415,The New 52,Assigned
New 52,Convergence: Supergirl: Matrix,Convergence,Added,SER-01416,SER-01416,The New 52,Assigned
New 52,Convergence: Superman,Convergence,Added,SER-01417,SER-01417,The New 52,Assigned
New 52,Convergence: Swamp Thing,Convergence,Added,SER-01418,SER-01418,The New 52,Assigned
New 52,Convergence: The Adventures of Superman,Convergence,Added,SER-01419,SER-01419,The New 52,Assigned
New 52,Convergence: The Flash,Convergence,Added,SER-01420,SER-01420,The New 52,Assigned
New 52,Convergence: The New Teen Titans,Convergence,Added,SER-01421,SER-01421,The New 52,Assigned
New 52,Convergence: Wonder Woman,Convergence,Added,SER-01422,SER-01422,The New 52,Assigned
New 52,The New 52: Futures End,DC Universe,Added,SER-01423,SER-01423,The New 52,Assigned
New 52,Earth 2: World's End,Justice Society of America,Added,SER-01424,SER-01424,The New 52,Assigned
New 52,The Multiversity,The Multiversity,Already present,,SER-00823,The New 52,Assigned
New 52,Batman Eternal,Batman,Already present,,SER-00075,The New 52,Assigned
New 52,Batman and Robin Eternal,Batman,Already present,,SER-01015,The New 52,Assigned
New 52,Batman: Europa,Batman,Already present,,SER-01019,The New 52,Assigned
New 52,Batman: Endgame,Batman,Added,SER-01425,SER-01425,The New 52,Assigned
New 52,Harley Quinn and Power Girl,Harley Quinn,Added,SER-01426,SER-01426,The New 52,Assigned
New 52,Legends of Tomorrow,DC Universe,Added,SER-01427,SER-01427,The New 52,Assigned
New 52,Before Watchmen: Minutemen,Watchmen Universe,Added,SER-01428,SER-01428,The New 52,Assigned
New 52,Before Watchmen: Silk Spectre,Watchmen Universe,Added,SER-01429,SER-01429,The New 52,Assigned
